----------------------------------------------------------------------------------------------
* Initiating KLMC3 task-farming profiler
----------------------------------------------------------------------------------------------

 logfile path : /work/e05/e05/wkjee/SolidSolution/Batteries/IronPhospate/ProductionMax36/set_2_p33/log
 number of master files : 1
 number of workgroup files : 512

# printing workgroup_id 9 log
 task_id: 9, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 42, 'second': 23, 'microsecond': 840659, 'abs': 1713386543.840659}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 4, 'microsecond': 663738, 'abs': 1713386584.663738}, 'elap_t': 40.79798889160156, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 42, 'second': 23, 'microsecond': 865514, 'abs': 1713386543.865514}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 4, 'microsecond': 663503, 'abs': 1713386584.663503}, 'mpi_overhead': 0.02509021759033203, 'app_elap_t': None}
 task_id: 1352, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 4, 'microsecond': 663760, 'abs': 1713386584.66376}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 36, 'microsecond': 598543, 'abs': 1713386616.598543}, 'elap_t': 31.9082350730896, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 4, 'microsecond': 690150, 'abs': 1713386584.69015}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 36, 'microsecond': 598385, 'abs': 1713386616.598385}, 'mpi_overhead': 0.026547908782958984, 'app_elap_t': None}
 task_id: 2232, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 36, 'microsecond': 598565, 'abs': 1713386616.598565}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 48, 'microsecond': 374323, 'abs': 1713386628.374323}, 'elap_t': 11.70990800857544, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 36, 'microsecond': 664290, 'abs': 1713386616.66429}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 48, 'microsecond': 374198, 'abs': 1713386628.374198}, 'mpi_overhead': 0.06584978103637695, 'app_elap_t': None}
 task_id: 2484, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 48, 'microsecond': 374382, 'abs': 1713386628.374382}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 54, 'microsecond': 320991, 'abs': 1713386634.320991}, 'elap_t': 5.911859035491943, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 48, 'microsecond': 409029, 'abs': 1713386628.409029}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 54, 'microsecond': 320888, 'abs': 1713386634.320888}, 'mpi_overhead': 0.03474998474121094, 'app_elap_t': None}
 task_id: 2628, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 54, 'microsecond': 321021, 'abs': 1713386634.321021}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 1, 'microsecond': 293732, 'abs': 1713386641.293732}, 'elap_t': 6.952702045440674, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 43, 'second': 54, 'microsecond': 340909, 'abs': 1713386634.340909}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 1, 'microsecond': 293611, 'abs': 1713386641.293611}, 'mpi_overhead': 0.02000880241394043, 'app_elap_t': None}
 task_id: 2852, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 1, 'microsecond': 293754, 'abs': 1713386641.293754}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 5, 'microsecond': 110324, 'abs': 1713386645.110324}, 'elap_t': 3.2210519313812256, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 1, 'microsecond': 889137, 'abs': 1713386641.889137}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 5, 'microsecond': 110189, 'abs': 1713386645.110189}, 'mpi_overhead': 0.5955178737640381, 'app_elap_t': None}
 task_id: 2968, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 5, 'microsecond': 110351, 'abs': 1713386645.110351}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 10, 'microsecond': 416622, 'abs': 1713386650.416622}, 'elap_t': 5.285717964172363, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 5, 'microsecond': 130759, 'abs': 1713386645.130759}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 10, 'microsecond': 416477, 'abs': 1713386650.416477}, 'mpi_overhead': 0.020552873611450195, 'app_elap_t': None}
 task_id: 3116, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 10, 'microsecond': 416647, 'abs': 1713386650.416647}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 41, 'microsecond': 74417, 'abs': 1713386681.074417}, 'elap_t': 30.6314799785614, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 10, 'microsecond': 442808, 'abs': 1713386650.442808}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 41, 'microsecond': 74288, 'abs': 1713386681.074288}, 'mpi_overhead': 0.026290178298950195, 'app_elap_t': None}
 task_id: 3972, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 41, 'microsecond': 74445, 'abs': 1713386681.074445}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 47, 'microsecond': 885555, 'abs': 1713386687.885555}, 'elap_t': 6.788594961166382, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 41, 'microsecond': 96844, 'abs': 1713386681.096844}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 47, 'microsecond': 885439, 'abs': 1713386687.885439}, 'mpi_overhead': 0.022515058517456055, 'app_elap_t': None}
 task_id: 4151, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 47, 'microsecond': 885591, 'abs': 1713386687.885591}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 45, 'second': 13, 'microsecond': 409513, 'abs': 1713386713.409513}, 'elap_t': 25.502280950546265, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 44, 'second': 47, 'microsecond': 907109, 'abs': 1713386687.907109}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 45, 'second': 13, 'microsecond': 409390, 'abs': 1713386713.40939}, 'mpi_overhead': 0.021641016006469727, 'app_elap_t': None}
 task_id: 4846, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 45, 'second': 13, 'microsecond': 409537, 'abs': 1713386713.409537}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 10, 'microsecond': 720615, 'abs': 1713386770.720615}, 'elap_t': 57.2732470035553, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 45, 'second': 13, 'microsecond': 447275, 'abs': 1713386713.447275}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 10, 'microsecond': 720522, 'abs': 1713386770.720522}, 'mpi_overhead': 0.03783082962036133, 'app_elap_t': None}
 task_id: 6471, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 10, 'microsecond': 720638, 'abs': 1713386770.720638}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 789391, 'abs': 1713386778.789391}, 'elap_t': 8.049955129623413, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 10, 'microsecond': 739353, 'abs': 1713386770.739353}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 789308, 'abs': 1713386778.789308}, 'mpi_overhead': 0.018797874450683594, 'app_elap_t': None}
 task_id: 6695, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 789416, 'abs': 1713386778.789416}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 574338, 'abs': 1713386783.574338}, 'elap_t': 4.743005990982056, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 831231, 'abs': 1713386778.831231}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 574237, 'abs': 1713386783.574237}, 'mpi_overhead': 0.0419158935546875, 'app_elap_t': None}
 task_id: 6824, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 574364, 'abs': 1713386783.574364}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 557534, 'abs': 1713386793.557534}, 'elap_t': 9.948729991912842, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 608709, 'abs': 1713386783.608709}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 557439, 'abs': 1713386793.557439}, 'mpi_overhead': 0.034440040588378906, 'app_elap_t': None}
 task_id: 7088, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 557561, 'abs': 1713386793.557561}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 39, 'microsecond': 312942, 'abs': 1713386799.312942}, 'elap_t': 5.645531177520752, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 667312, 'abs': 1713386793.667312}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 39, 'microsecond': 312843, 'abs': 1713386799.312843}, 'mpi_overhead': 0.10984992980957031, 'app_elap_t': None}
